Date,Open,High,Low,Close
7/18/2008,124.75,126.42,124.37,125.92
7/21/2008,125.68,126.87,125.19,126.00
7/22/2008,125.10,127.80,124.80,127.69
7/23/2008,127.97,129.15,127.55,128.22
7/24/2008,128.09,128.41,125.16,125.43
7/25/2008,125.59,126.49,125.11,125.71
7/28/2008,125.34,126.06,123.42,123.57
7/29/2008,123.84,126.30,123.28,126.27
7/30/2008,126.27,128.47,126.10,128.45
7/31/2008,128.25,129.08,126.63,126.84
8/1/2008,126.90,127.75,125.46,126.11
8/4/2008,126.25,126.25,124.76,124.91
8/5/2008,125.50,128.47,125.50,128.42
8/6/2008,128.40,129.30,127.48,129.09
8/7/2008,128.75,128.93,126.54,126.88
8/8/2008,127.31,129.93,126.38,129.62
8/11/2008,129.19,131.51,129.19,130.65
8/12/2008,130.19,130.91,128.73,129.25
8/13/2008,129.24,129.65,127.67,128.82
8/14/2008,128.97,130.28,127.75,129.54
8/15/2008,130.17,130.50,129.30,130.05
8/18/2008,129.97,130.79,127.66,128.25
8/19/2008,128.13,128.39,126.53,127.02
8/20/2008,127.53,127.95,126.34,127.71
8/21/2008,126.81,128.44,126.60,127.99
8/22/2008,128.02,129.65,127.80,129.52
8/25/2008,129.09,129.65,126.75,127.08
8/26/2008,126.79,127.87,126.58,127.44
8/27/2008,127.09,128.83,126.98,128.46
8/28/2008,128.00,130.34,128.00,130.30
8/29/2008,129.75,130.19,128.61,128.69
9/2/2008,128.80,130.71,127.52,128.09
9/3/2008,128.28,128.50,126.93,127.96
9/4/2008,127.50,127.88,124.00,124.08
9/5/2008,123.24,124.95,122.00,124.64
9/8/2008,128.28,128.62,124.42,127.25
9/9/2008,127.58,127.92,122.92,122.94
9/10/2008,124.11,124.90,122.47,123.60
9/11/2008,122.99,125.55,121.60,125.51
9/12/2008,125.48,125.98,123.83,125.75
9/15/2008,123.05,124.28,120.14,120.34
9/16/2008,119.45,122.09,116.71,121.88
9/17/2008,121.00,123.32,116.00,116.30
9/18/2008,117.69,121.79,113.80,120.59
9/19/2008,122.99,128.09,116.52,125.04
9/22/2008,123.72,125.00,120.36,120.60
9/23/2008,121.49,122.02,118.28,118.72
9/24/2008,120.00,120.50,117.79,118.84
9/25/2008,118.95,121.91,118.44,121.01
9/26/2008,118.88,121.50,118.21,121.36
9/29/2008,118.42,119.49,110.97,112.83
9/30/2008,114.00,116.80,110.53,116.70
10/1/2008,115.05,116.69,113.95,115.99
10/2/2008,115.80,116.45,111.06,111.30
10/3/2008,112.55,115.45,109.68,109.97
10/6/2008,107.72,109.62,100.64,106.27
10/7/2008,105.07,107.33,99.65,99.79
10/8/2008,96.86,104.98,96.40,98.40
10/9/2008,100.27,100.62,90.90,91.75
10/10/2008,89.30,93.94,83.58,90.46
10/13/2008,94.13,101.01,89.95,100.86
10/14/2008,102.78,106.18,97.11,99.93
10/15/2008,99.00,99.86,90.50,90.71
10/16/2008,91.16,94.77,86.54,94.41
10/17/2008,92.73,98.59,91.00,94.07
10/20/2008,95.85,98.55,94.09,98.47
10/21/2008,98.15,98.81,95.22,95.50
10/22/2008,95.20,96.85,87.53,89.88
10/23/2008,92.30,92.45,85.81,91.05
10/24/2008,86.16,89.92,83.25,87.63
10/27/2008,83.17,89.51,82.70,84.86
10/28/2008,87.71,94.20,84.00,94.00
10/29/2008,92.02,97.17,91.73,92.32
10/30/2008,95.57,96.51,92.90,95.47
10/31/2008,94.67,98.57,94.25,97.17
11/3/2008,97.30,97.69,95.95,96.76
11/4/2008,97.70,100.86,97.70,100.40
11/5/2008,98.64,100.71,95.00,95.44
11/6/2008,95.31,96.19,90.06,90.65
11/7/2008,92.56,93.41,90.50,93.21
11/10/2008,95.81,96.55,90.92,92.23
11/11/2008,92.04,92.63,88.65,90.10
11/12/2008,90.00,90.90,85.12,85.68
11/13/2008,86.24,91.73,82.09,91.50
11/14/2008,90.22,92.06,87.23,87.55
11/17/2008,87.70,88.56,85.16,85.39
11/18/2008,83.81,87.00,82.91,86.20
11/19/2008,85.52,87.08,80.92,81.13
11/20/2008,80.51,82.51,75.08,75.75
11/21/2008,78.52,80.90,74.34,80.36
11/24/2008,79.88,86.99,79.35,84.94
11/25/2008,84.33,87.79,83.82,86.05
11/26/2008,85.66,89.15,83.47,89.04
11/28/2008,89.11,90.15,88.09,89.90
12/1/2008,88.71,88.71,81.97,82.09
12/2/2008,82.69,85.49,82.23,85.40
12/3/2008,83.72,87.83,83.10,87.50
12/4/2008,87.51,88.05,83.74,84.88
12/5/2008,85.32,88.42,82.24,88.04
12/8/2008,89.96,92.38,89.33,91.25
12/9/2008,91.09,92.13,88.98,89.40
12/10/2008,90.60,91.36,89.00,90.35
12/11/2008,89.40,91.00,87.37,87.95
12/12/2008,84.42,88.90,83.85,88.45
12/15/2008,88.45,89.29,86.29,87.50
12/16/2008,88.02,92.02,87.98,91.84
12/17/2008,89.37,92.43,89.37,91.01
12/18/2008,91.39,91.81,88.21,89.15
12/19/2008,88.89,90.38,88.09,88.39
12/22/2008,88.15,88.99,85.49,86.95
12/23/2008,87.38,87.95,85.80,86.17
12/24/2008,86.15,86.87,85.84,86.56
12/26/2008,87.04,87.37,86.50,87.13
12/29/2008,87.26,87.58,85.60,86.89
12/30/2008,88.04,89.05,87.09,88.90
12/31/2008,88.98,90.97,88.87,90.24
1/2/2009,89.99,93.44,89.85,92.97
1/5/2009,92.77,93.66,91.89,92.80
1/6/2009,93.08,94.45,92.68,93.44
1/7/2009,92.48,92.88,90.20,90.70
1/8/2009,90.85,91.09,89.52,91.08
1/9/2009,90.54,91.85,88.81,89.01
1/12/2009,88.85,88.92,86.41,87.00
1/13/2009,86.55,87.88,86.08,87.10
1/14/2009,87.10,87.15,83.69,84.35
1/15/2009,83.55,85.25,81.72,84.49
1/16/2009,85.20,86.16,83.05,84.98
1/20/2009,84.95,85.01,80.47,80.62
1/21/2009,81.25,84.24,80.47,84.04
1/22/2009,84.28,84.38,81.17,82.78
1/23/2009,81.61,83.99,80.40,83.11
1/26/2009,82.86,85.36,82.55,83.70
1/27/2009,84.78,85.15,83.56,84.58
1/28/2009,86.10,87.95,85.95,87.43
1/29/2009,86.60,87.03,84.47,84.57
1/30/2009,85.20,85.40,82.21,82.69
2/2/2009,81.54,83.18,81.14,82.59
2/3/2009,82.90,84.36,82.11,83.81
2/4/2009,83.61,85.37,83.04,83.31
2/5/2009,83.11,85.29,82.12,84.66
2/6/2009,84.25,87.34,84.25,86.96
2/9/2009,85.80,87.74,85.80,87.16
2/10/2009,85.87,87.03,82.45,82.96
2/11/2009,83.34,84.05,82.40,83.67
2/12/2009,82.75,83.82,81.05,83.69
2/13/2009,84.09,84.38,82.75,82.78
2/17/2009,82.33,82.45,79.17,79.22
2/18/2009,79.47,80.10,78.28,79.06
2/19/2009,79.16,80.15,78.02,78.28
2/20/2009,77.40,78.34,75.77,77.41
2/23/2009,78.66,78.94,74.59,74.78
2/24/2009,75.68,77.95,74.84,77.57
2/25/2009,77.05,78.42,75.63,76.85
2/26/2009,77.54,78.38,75.53,75.67
2/27/2009,75.72,76.83,73.53,73.97
3/2/2009,72.50,73.40,70.37,70.58
3/3/2009,71.87,72.05,69.64,70.04
3/4/2009,70.68,72.87,70.07,71.73
3/5/2009,70.73,70.88,68.17,68.77
3/6/2009,69.41,70.45,67.10,68.84
3/9/2009,67.74,70.00,67.73,68.07
3/10/2009,68.95,72.37,68.95,72.23
3/11/2009,72.04,73.75,71.80,72.60
3/12/2009,72.30,75.75,71.70,75.51
3/13/2009,76.03,76.98,74.73,76.10
3/16/2009,76.83,77.97,75.81,75.93
3/17/2009,76.13,78.30,75.45,78.26
3/18/2009,78.26,80.90,77.07,79.89
3/19/2009,79.50,81.04,78.69,78.89
3/20/2009,77.85,78.90,76.53,76.71
3/23/2009,78.95,82.27,77.65,82.27
3/24/2009,81.58,82.36,80.51,80.61
3/25/2009,81.00,82.70,79.06,81.34
3/26/2009,82.15,83.30,81.48,83.17
3/27/2009,82.64,82.89,81.31,81.62
3/30/2009,79.60,81.38,77.96,78.80
3/31/2009,79.61,81.08,79.05,79.50
4/1/2009,78.78,81.42,78.33,81.03
4/2/2009,82.91,84.61,81.13,83.41
4/3/2009,83.48,84.83,82.21,84.25
4/6/2009,84.99,85.10,82.29,83.51
4/7/2009,83.11,83.11,81.51,81.56
4/8/2009,80.95,82.94,80.80,82.54
4/9/2009,83.22,85.82,83.00,85.82
4/13/2009,85.13,86.54,84.58,85.85
4/14/2009,85.30,86.20,84.08,84.31
4/15/2009,84.41,85.42,83.61,85.29
4/16/2009,84.56,87.15,84.55,86.56
4/17/2009,86.10,87.65,85.98,87.13
4/20/2009,86.42,86.46,83.34,83.41
4/21/2009,84.06,85.13,82.75,85.06
4/22/2009,84.60,86.34,84.03,84.54
4/23/2009,84.94,85.42,83.63,85.36
4/24/2009,85.42,87.31,85.09,86.65
4/27/2009,85.52,87.01,85.29,85.85
4/28/2009,84.77,86.59,84.51,85.59
4/29/2009,86.29,88.36,86.12,87.44
4/30/2009,88.65,89.14,86.92,87.44
5/1/2009,87.70,88.21,86.72,87.86
5/4/2009,88.64,90.93,88.25,90.93
5/5/2009,90.39,90.97,89.84,90.51
5/6/2009,90.12,92.20,89.96,92.14
5/7/2009,92.33,93.28,90.28,90.84
5/8/2009,91.83,93.22,91.44,93.03
5/11/2009,91.89,92.11,91.04,91.19
5/12/2009,91.76,91.93,89.85,91.02
5/13/2009,91.15,91.36,88.50,88.70
5/14/2009,89.09,90.12,88.34,89.44
5/15/2009,89.50,90.00,88.15,88.70
5/18/2009,88.65,91.34,88.49,91.25
5/19/2009,91.57,92.05,90.81,91.11
5/20/2009,91.67,92.80,90.41,90.57
5/21/2009,90.07,90.20,88.26,89.20
5/22/2009,89.69,90.02,88.68,89.05
5/26/2009,88.69,91.56,88.20,91.32
5/27/2009,91.44,91.79,89.53,89.68
5/28/2009,89.93,91.34,89.10,90.95
5/29/2009,91.24,92.69,90.68,92.65
6/1/2009,93.72,95.17,92.44,94.77
6/2/2009,94.26,95.37,87.53,94.86
6/3/2009,94.32,95.05,92.76,93.65
6/4/2009,94.16,94.67,93.30,94.55
6/5/2009,94.99,96.20,93.80,94.53
6/8/2009,93.58,95.10,93.04,94.31
6/9/2009,94.28,95.15,94.02,94.67
6/10/2009,95.42,95.94,93.19,94.36
6/11/2009,94.74,96.11,94.15,94.88
6/12/2009,94.83,95.13,94.00,95.11
6/15/2009,93.78,94.51,92.42,92.86
6/16/2009,92.75,93.34,91.58,91.66
6/17/2009,91.75,92.33,90.83,91.57
6/18/2009,91.71,92.67,91.23,92.18
6/19/2009,91.98,92.70,91.52,91.97
6/22/2009,91.65,92.08,89.26,89.26
6/23/2009,89.38,89.88,88.85,89.43
6/24/2009,89.62,91.08,89.36,90.11
6/25/2009,91.06,92.17,89.53,92.03
6/26/2009,92.00,92.29,91.27,91.78
6/29/2009,91.84,92.82,91.60,92.72
6/30/2009,92.75,93.06,91.27,92.03
7/1/2009,92.53,93.23,91.95,92.34
7/2/2009,91.88,92.00,89.76,89.82
7/6/2009,88.88,90.00,88.66,89.90
7/7/2009,89.82,90.24,88.00,88.10
7/8/2009,88.52,88.80,87.00,88.01
7/9/2009,88.52,88.90,87.91,88.23
7/10/2009,88.19,88.49,87.35,87.94
7/13/2009,87.75,90.17,87.24,90.12
7/14/2009,90.23,90.83,89.73,90.68
7/15/2009,91.39,93.51,90.63,93.33
7/16/2009,92.65,94.51,92.65,94.16
7/17/2009,93.88,94.32,93.28,94.13
7/20/2009,94.41,95.29,94.19,95.13
7/21/2009,95.21,96.05,94.42,95.58
7/22/2009,95.18,96.13,94.82,95.54
7/23/2009,95.66,98.08,95.48,97.68
7/24/2009,97.50,98.14,96.69,98.06
7/27/2009,98.30,98.65,97.34,98.35
7/28/2009,98.45,98.45,97.06,98.06
7/29/2009,97.58,97.93,96.98,97.66
7/30/2009,98.10,99.83,98.10,98.71
7/31/2009,98.78,99.53,98.27,98.83
8/3/2009,99.22,100.53,98.82,100.39
8/4/2009,99.98,100.84,99.68,100.69
8/5/2009,100.59,101.07,99.58,100.41
8/6/2009,100.63,101.35,99.42,99.88
8/7/2009,99.55,102.03,99.45,101.19
8/10/2009,101.01,101.22,100.27,100.96
8/11/2009,101.44,101.48,99.46,99.66
8/12/2009,99.37,101.56,99.27,100.78
8/13/2009,101.30,101.95,100.26,101.58
8/14/2009,101.90,101.94,99.70,100.73
8/17/2009,99.14,100.79,98.12,98.23
8/18/2009,98.70,99.44,98.28,99.19
8/19/2009,98.41,100.30,98.16,100.00
8/20/2009,100.67,101.22,99.87,101.02
8/21/2009,100.79,103.13,100.14,102.92
8/24/2009,103.45,103.95,102.59,102.94
8/25/2009,102.97,104.26,102.36,103.16
8/26/2009,103.27,103.64,102.49,103.18
8/27/2009,103.30,103.72,101.94,103.45
8/28/2009,103.51,104.35,102.67,103.33
8/31/2009,102.43,103.50,101.79,102.48
9/1/2009,102.47,103.24,99.99,100.16
9/2/2009,99.91,100.44,99.57,99.84
9/3/2009,100.30,100.87,99.59,100.66
9/4/2009,100.94,102.09,100.41,102.07
9/8/2009,103.05,103.16,102.20,102.90
9/9/2009,102.45,104.08,102.44,103.76
9/10/2009,104.01,104.86,103.22,104.79
9/11/2009,104.60,105.30,104.28,104.75
9/14/2009,103.90,105.46,103.15,105.34
9/15/2009,104.87,106.11,104.76,105.72
9/16/2009,105.90,107.34,105.73,107.31
9/17/2009,107.56,108.06,106.57,107.15
9/18/2009,106.36,107.19,106.26,106.73
